"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","Add Contact","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","53","Cleanup: Delete User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","39","Create Jimmy Leftbehind - Proof of Test Execution","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Proof of Execution","",""
"","170","Setup: Add User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","35","Get Contact List","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","40","Get User Profile","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","47","Update Contact (PUT)","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","29","Verify User Deleted","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","36","Update Contact (PATCH)","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","59","Log In User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","38","Log Out User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","36","Delete Contact","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","48","Get Contact","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","63","Create Evidence User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Proof of Execution","",""
"","32","Verify Contact Deleted","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Contacts Management","",""
"","64","Add User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","37","Delete User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
"","63","Update User","Contact List API Smoke Tests","2026-06-15","passed","2026-06-15","","Users Management","",""
